Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
392,726.379323445,726.379347012,0.023567000084767642
393,726.379400482,726.379425453,0.024970999902507174
394,726.379481677,726.37950634,0.02466300009018596
395,726.379559642,726.379584826,0.025184000037370424
396,726.379640754,726.379666024,0.02527000003738067
397,726.379719043,726.379743682,0.024639000002935063
398,726.379799918,726.379825392,0.02547400004004885
399,726.379879453,726.379904107,0.02465400007167773
400,726.379956271,726.379981253,0.024982000013551442
401,726.380064934,726.380090894,0.025960000016311824
402,726.380145805,726.380173992,0.02818699999806995
403,726.38022881,726.380253372,0.02456200002143305
404,726.380306175,726.380330523,0.024348000010832038
405,726.380384113,726.380409146,0.025033000042640197
406,726.380460918,726.380485608,0.02468999991833698
407,726.380539387,726.380565204,0.02581700005066523
408,726.380616186,726.380642048,0.02586200002951955
409,726.380690745,726.38071456,0.023814999963178707
410,726.380763455,726.380787205,0.02375000008214556
411,726.380837039,726.380860402,0.02336300008209946
412,726.380908584,726.380933106,0.024521999989701726
413,726.380984942,726.381028994,0.04405199990742403
414,726.381083687,726.381109128,0.02544100004797656
415,726.381160677,726.381185566,0.024888999973882164
416,726.381235549,726.381259941,0.02439200000026176
417,726.38131185,726.381334679,0.02282900004502153
418,726.381385033,726.381410595,0.025562000018908293
419,726.38146162,726.381487246,0.025626000024203677
420,726.381542014,726.381568701,0.026686999945013667
421,726.381624034,726.381652258,0.028224000061527477
422,726.38170814,726.38173368,0.025540000024193432
423,726.381788669,726.381814511,0.025842000013653887
424,726.381870411,726.38189602,0.025608999976611813
425,726.381952129,726.381977879,0.025750000077096047
426,726.382079918,726.382102615,0.022696999963045528
427,726.382139411,726.382156526,0.017114999991463264
428,726.382193951,726.382211153,0.01720199998089811
429,726.382247529,726.382264367,0.016837999964991468
430,726.382301523,726.3823257,0.02417700000023615
431,726.382361163,726.382378012,0.0168489999623489
432,726.382414716,726.382431811,0.017094999975597602
433,726.382468972,726.382484852,0.015879999978096748
434,726.382519539,726.38253555,0.016010999956961314
435,726.382568367,726.382584914,0.016546999972888443
436,726.382616947,726.382631789,0.014842000041426218
